date,state,fips,cases,deaths
4/10/2020,CALLAO,07,88,0
4/10/2020,CUSCO,08,3,0
4/10/2020,HUANUCO,10,3,0
4/10/2020,ICA,11,15,0
4/10/2020,JUNIN,12,2,0
4/10/2020,LA LIBERTAD,13,5,0
4/10/2020,LAMBAYEQUE,14,59,0
4/10/2020,LIMA,15,791,0
4/10/2020,LORETO,15,7,0
4/10/2020,MOQUEGUA,18,3,0
4/10/2020,PASCO,19,1,0
4/10/2020,PIURA,20,36,0
4/10/2020,TUMBES,24,3,0
4/10/2020,UCAYALI,25,3,0
4/11/2020,ANCASH,02,26,0
4/11/2020,APURIMAC,03,2,0
4/11/2020,AREQUIPA,04,12,0
4/11/2020,CAJAMARCA,06,1,0
4/11/2020,CALLAO,07,306,0
4/11/2020,CUSCO,08,43,0
4/11/2020,HUANCAVELICA,09,2,0
4/11/2020,HUANUCO,10,7,0
4/11/2020,ICA,11,19,0
4/11/2020,JUNIN,12,8,0
4/11/2020,LA LIBERTAD,13,8,0
4/11/2020,LAMBAYEQUE,14,66,0
4/11/2020,LIMA,15,768,0
4/11/2020,LORETO,15,13,0
4/11/2020,MADRE DE DIOS,17,14,0
4/11/2020,MOQUEGUA,18,3,0
4/11/2020,PASCO,19,2,0
4/11/2020,PIURA,20,49,0
4/11/2020,PUNO,21,1,0
4/11/2020,SAN MARTIN,22,15,0
4/11/2020,TUMBES,24,39,0
4/11/2020,UCAYALI,25,1,0
4/12/2020,AMAZONAS,01,7,0
4/12/2020,ANCASH,02,7,0
4/12/2020,AREQUIPA,04,15,0
4/12/2020,CAJAMARCA,06,1,0
4/12/2020,CALLAO,07,38,0
4/12/2020,HUANCAVELICA,09,2,0
4/12/2020,HUANUCO,10,4,0
4/12/2020,ICA,11,3,0
4/12/2020,JUNIN,12,4,0
4/12/2020,LA LIBERTAD,13,3,0
4/12/2020,LAMBAYEQUE,14,56,0
4/12/2020,LIMA,15,514,0
4/12/2020,LORETO,15,23,0
4/12/2020,LORETO,16,1,0
4/12/2020,MADRE DE DIOS,17,13,0
4/12/2020,PIURA,20,32,0
4/12/2020,TUMBES,24,6,0
4/12/2020,UCAYALI,25,3,0
4/13/2020,ANCASH,02,20,0
4/13/2020,APURIMAC,03,4,0
4/13/2020,AREQUIPA,04,12,0
4/13/2020,AYACUCHO,05,5,0
4/13/2020,CAJAMARCA,06,4,0
4/13/2020,CALLAO,07,311,0
4/13/2020,CUSCO,08,1,0
4/13/2020,HUANCAVELICA,09,1,0
4/13/2020,HUANUCO,10,5,0
4/13/2020,ICA,11,27,0
4/13/2020,JUNIN,12,9,0
4/13/2020,LA LIBERTAD,13,23,0
4/13/2020,LAMBAYEQUE,14,58,0
4/13/2020,LIMA,15,713,0
4/13/2020,LORETO,15,26,0
4/13/2020,MADRE DE DIOS,17,4,0
4/13/2020,MOQUEGUA,18,2,0
4/13/2020,PIURA,20,31,0
4/13/2020,PUNO,21,1,0
4/13/2020,TUMBES,24,13,0
4/13/2020,UCAYALI,25,11,0
4/14/2020,AMAZONAS,01,8,0
4/14/2020,ANCASH,02,28,0
4/14/2020,APURIMAC,03,9,0
4/14/2020,AREQUIPA,04,13,0
4/14/2020,AYACUCHO,05,5,0
4/14/2020,CAJAMARCA,06,7,0
4/14/2020,CALLAO,07,83,0
4/14/2020,CUSCO,08,3,0
4/14/2020,HUANCAVELICA,09,1,0
4/14/2020,HUANUCO,10,10,0
4/14/2020,ICA,11,6,0
4/14/2020,JUNIN,12,33,0
4/14/2020,LA LIBERTAD,13,25,0
4/14/2020,LAMBAYEQUE,14,59,0
4/14/2020,LIMA,15,615,0
4/14/2020,LORETO,15,31,0
4/14/2020,MADRE DE DIOS,17,4,0
4/14/2020,MOQUEGUA,18,5,0
4/14/2020,PIURA,20,55,0
4/14/2020,SAN MARTIN,22,6,0
4/14/2020,TACNA,23,3,0
4/14/2020,TUMBES,24,22,0
4/14/2020,UCAYALI,25,6,0
4/15/2020,AMAZONAS,01,7,0
4/15/2020,ANCASH,02,43,0
4/15/2020,APURIMAC,03,3,0
4/15/2020,AREQUIPA,04,27,0
4/15/2020,AYACUCHO,05,4,0
4/15/2020,CAJAMARCA,06,10,0
4/15/2020,CALLAO,07,99,0
4/15/2020,CUSCO,08,1,0
4/15/2020,HUANCAVELICA,09,4,0
